,sentences,tag,start,end
1,"""Các trường dừng dạy học trực tiếp nhằm hạn chế tối đa nguy cơ lây lan dịch bệnh trong cộng đồng"", ông Trị nói.",dsfsdf,nguy,lây
2,"Theo kế hoạch, lớp 1, lớp 2 sẽ được ưu tiên dạy học trên truyền hình và không thực hiện kiểm tra, đánh giá định kỳ trong khoảng thời gian này.",dsfsdf,thời,định
,,dsfsdf,truyền,dạy
,,fsdf,định,trên
,,sdfd,giá,và
,,sfsd,hoạch,truyền
,,sdf,thời,này
,,sdf,dạy,tra
3,"A group of words, usually containing a verb, that expresses a thought in the form of a statement, question, instruction, or exclamation and starts with a capital letter when written.",dsfsdf,thought,a
4,He's very impatient and always interrupts me mid sentence.,sdf,impatient,sentence
